TAGNAME,TAGVALUE,DATATYPE,TS
ns=2;s=Temperature,21.72,Float,2026-01-01T10:00:23Z
ns=2;s=Pressure,102.18,Float,2026-01-01T10:00:23Z
ns=2;s=Flow,15.81,Float,2026-01-01T10:00:23Z
ns=2;s=Temperature,21.74,Float,2026-01-01T10:00:24Z
ns=2;s=Pressure,102.2,Float,2026-01-01T10:00:24Z
ns=2;s=Flow,15.8,Float,2026-01-01T10:00:24Z
ns=2;s=Temperature,21.77,Float,2026-01-01T10:00:25Z
ns=2;s=Pressure,102.21,Float,2026-01-01T10:00:25Z
ns=2;s=Flow,15.79,Float,2026-01-01T10:00:25Z
ns=2;s=Temperature,21.79,Float,2026-01-01T10:00:26Z
ns=2;s=Pressure,102.22,Float,2026-01-01T10:00:26Z
ns=2;s=Flow,15.78,Float,2026-01-01T10:00:26Z
ns=2;s=Temperature,21.81,Float,2026-01-01T10:00:27Z
ns=2;s=Pressure,102.23,Float,2026-01-01T10:00:27Z
ns=2;s=Flow,15.77,Float,2026-01-01T10:00:27Z
ns=2;s=Temperature,21.83,Float,2026-01-01T10:00:28Z
ns=2;s=Pressure,102.24,Float,2026-01-01T10:00:28Z
ns=2;s=Flow,15.75,Float,2026-01-01T10:00:28Z
ns=2;s=Temperature,21.85,Float,2026-01-01T10:00:29Z
ns=2;s=Pressure,102.24,Float,2026-01-01T10:00:29Z
ns=2;s=Flow,15.74,Float,2026-01-01T10:00:29Z
ns=2;s=Temperature,21.87,Float,2026-01-01T10:00:30Z
ns=2;s=Pressure,102.25,Float,2026-01-01T10:00:30Z
ns=2;s=Flow,15.72,Float,2026-01-01T10:00:30Z
ns=2;s=Temperature,21.89,Float,2026-01-01T10:00:31Z
ns=2;s=Pressure,102.24,Float,2026-01-01T10:00:31Z
ns=2;s=Flow,15.71,Float,2026-01-01T10:00:31Z
ns=2;s=Temperature,21.91,Float,2026-01-01T10:00:32Z
ns=2;s=Pressure,102.24,Float,2026-01-01T10:00:32Z
ns=2;s=Flow,15.69,Float,2026-01-01T10:00:32Z
ns=2;s=Temperature,21.92,Float,2026-01-01T10:00:33Z
ns=2;s=Pressure,102.23,Float,2026-01-01T10:00:33Z
ns=2;s=Flow,15.67,Float,2026-01-01T10:00:33Z
ns=2;s=Temperature,21.94,Float,2026-01-01T10:00:34Z
ns=2;s=Pressure,102.22,Float,2026-01-01T10:00:34Z
ns=2;s=Flow,15.66,Float,2026-01-01T10:00:34Z
ns=2;s=Temperature,21.95,Float,2026-01-01T10:00:35Z
ns=2;s=Pressure,102.21,Float,2026-01-01T10:00:35Z
ns=2;s=Flow,15.64,Float,2026-01-01T10:00:35Z
ns=2;s=Temperature,21.97,Float,2026-01-01T10:00:36Z
ns=2;s=Pressure,102.2,Float,2026-01-01T10:00:36Z
ns=2;s=Flow,15.62,Float,2026-01-01T10:00:36Z
ns=2;s=Temperature,21.98,Float,2026-01-01T10:00:37Z
ns=2;s=Pressure,102.18,Float,2026-01-01T10:00:37Z
ns=2;s=Flow,15.61,Float,2026-01-01T10:00:37Z
ns=2;s=Temperature,21.99,Float,2026-01-01T10:00:38Z
ns=2;s=Pressure,102.16,Float,2026-01-01T10:00:38Z
ns=2;s=Flow,15.59,Float,2026-01-01T10:00:38Z
ns=2;s=Temperature,22.0,Float,2026-01-01T10:00:39Z
ns=2;s=Pressure,102.14,Float,2026-01-01T10:00:39Z
ns=2;s=Flow,15.57,Float,2026-01-01T10:00:39Z
ns=2;s=Temperature,22.01,Float,2026-01-01T10:00:40Z
ns=2;s=Pressure,102.12,Float,2026-01-01T10:00:40Z
ns=2;s=Flow,15.55,Float,2026-01-01T10:00:40Z
ns=2;s=Temperature,22.02,Float,2026-01-01T10:00:41Z
ns=2;s=Pressure,102.09,Float,2026-01-01T10:00:41Z
ns=2;s=Flow,15.54,Float,2026-01-01T10:00:41Z
ns=2;s=Temperature,22.03,Float,2026-01-01T10:00:42Z
ns=2;s=Pressure,102.06,Float,2026-01-01T10:00:42Z
ns=2;s=Flow,15.52,Float,2026-01-01T10:00:42Z
ns=2;s=Temperature,22.03,Float,2026-01-01T10:00:43Z
ns=2;s=Pressure,102.03,Float,2026-01-01T10:00:43Z
ns=2;s=Flow,15.51,Float,2026-01-01T10:00:43Z
ns=2;s=Temperature,22.04,Float,2026-01-01T10:00:44Z
ns=2;s=Pressure,102.0,Float,2026-01-01T10:00:44Z
ns=2;s=Flow,15.49,Float,2026-01-01T10:00:44Z
ns=2;s=Temperature,22.04,Float,2026-01-01T10:00:45Z
ns=2;s=Pressure,101.96,Float,2026-01-01T10:00:45Z
ns=2;s=Flow,15.48,Float,2026-01-01T10:00:45Z
ns=2;s=Temperature,22.05,Float,2026-01-01T10:00:46Z
ns=2;s=Pressure,101.93,Float,2026-01-01T10:00:46Z
ns=2;s=Flow,15.47,Float,2026-01-01T10:00:46Z
ns=2;s=Temperature,22.05,Float,2026-01-01T10:00:47Z
ns=2;s=Pressure,101.89,Float,2026-01-01T10:00:47Z
ns=2;s=Flow,15.45,Float,2026-01-01T10:00:47Z
ns=2;s=Temperature,22.05,Float,2026-01-01T10:00:48Z
ns=2;s=Pressure,101.85,Float,2026-01-01T10:00:48Z
ns=2;s=Flow,15.44,Float,2026-01-01T10:00:48Z
ns=2;s=Temperature,22.05,Float,2026-01-01T10:00:49Z
ns=2;s=Pressure,101.8,Float,2026-01-01T10:00:49Z
ns=2;s=Flow,15.43,Float,2026-01-01T10:00:49Z
ns=2;s=Temperature,22.05,Float,2026-01-01T10:00:50Z
ns=2;s=Pressure,101.76,Float,2026-01-01T10:00:50Z
ns=2;s=Flow,15.42,Float,2026-01-01T10:00:50Z
ns=2;s=Temperature,22.04,Float,2026-01-01T10:00:51Z
ns=2;s=Pressure,101.71,Float,2026-01-01T10:00:51Z
ns=2;s=Flow,15.41,Float,2026-01-01T10:00:51Z
ns=2;s=Temperature,22.04,Float,2026-01-01T10:00:52Z
ns=2;s=Pressure,101.67,Float,2026-01-01T10:00:52Z
ns=2;s=Flow,15.4,Float,2026-01-01T10:00:52Z
ns=2;s=Temperature,22.03,Float,2026-01-01T10:00:53Z
ns=2;s=Pressure,101.62,Float,2026-01-01T10:00:53Z
ns=2;s=Flow,15.39,Float,2026-01-01T10:00:53Z
ns=2;s=Temperature,22.03,Float,2026-01-01T10:00:54Z
ns=2;s=Pressure,101.57,Float,2026-01-01T10:00:54Z
ns=2;s=Flow,15.38,Float,2026-01-01T10:00:54Z
ns=2;s=Temperature,22.02,Float,2026-01-01T10:00:55Z
ns=2;s=Pressure,101.52,Float,2026-01-01T10:00:55Z
ns=2;s=Flow,15.38,Float,2026-01-01T10:00:55Z
ns=2;s=Temperature,22.01,Float,2026-01-01T10:00:56Z
ns=2;s=Pressure,101.47,Float,2026-01-01T10:00:56Z
ns=2;s=Flow,15.37,Float,2026-01-01T10:00:56Z
ns=2;s=Temperature,22.0,Float,2026-01-01T10:00:57Z
ns=2;s=Pressure,101.41,Float,2026-01-01T10:00:57Z
ns=2;s=Flow,15.36,Float,2026-01-01T10:00:57Z
ns=2;s=Temperature,21.99,Float,2026-01-01T10:00:58Z
ns=2;s=Pressure,101.36,Float,2026-01-01T10:00:58Z
ns=2;s=Flow,15.36,Float,2026-01-01T10:00:58Z
ns=2;s=Temperature,21.98,Float,2026-01-01T10:00:59Z
ns=2;s=Pressure,101.3,Float,2026-01-01T10:00:59Z
ns=2;s=Flow,15.35,Float,2026-01-01T10:00:59Z
ns=2;s=Temperature,21.97,Float,2026-01-01T10:01:00Z
ns=2;s=Pressure,101.25,Float,2026-01-01T10:01:00Z
ns=2;s=Flow,15.35,Float,2026-01-01T10:01:00Z
ns=2;s=Temperature,21.96,Float,2026-01-01T10:01:01Z
ns=2;s=Pressure,101.19,Float,2026-01-01T10:01:01Z
ns=2;s=Flow,15.34,Float,2026-01-01T10:01:01Z
ns=2;s=Temperature,21.94,Float,2026-01-01T10:01:02Z
ns=2;s=Pressure,101.14,Float,2026-01-01T10:01:02Z
ns=2;s=Flow,15.34,Float,2026-01-01T10:01:02Z
ns=2;s=Temperature,21.93,Float,2026-01-01T10:01:03Z
ns=2;s=Pressure,101.08,Float,2026-01-01T10:01:03Z
ns=2;s=Flow,15.34,Float,2026-01-01T10:01:03Z
ns=2;s=Temperature,21.91,Float,2026-01-01T10:01:04Z
ns=2;s=Pressure,101.03,Float,2026-01-01T10:01:04Z
ns=2;s=Flow,15.33,Float,2026-01-01T10:01:04Z
ns=2;s=Temperature,21.89,Float,2026-01-01T10:01:05Z
ns=2;s=Pressure,100.97,Float,2026-01-01T10:01:05Z
ns=2;s=Flow,15.33,Float,2026-01-01T10:01:05Z
ns=2;s=Temperature,21.87,Float,2026-01-01T10:01:06Z
ns=2;s=Pressure,100.92,Float,2026-01-01T10:01:06Z
ns=2;s=Flow,15.33,Float,2026-01-01T10:01:06Z
ns=2;s=Temperature,21.86,Float,2026-01-01T10:01:07Z
ns=2;s=Pressure,100.86,Float,2026-01-01T10:01:07Z
ns=2;s=Flow,15.32,Float,2026-01-01T10:01:07Z
ns=2;s=Temperature,21.84,Float,2026-01-01T10:01:08Z
ns=2;s=Pressure,100.81,Float,2026-01-01T10:01:08Z
ns=2;s=Flow,15.32,Float,2026-01-01T10:01:08Z
ns=2;s=Temperature,21.81,Float,2026-01-01T10:01:09Z
ns=2;s=Pressure,100.75,Float,2026-01-01T10:01:09Z
ns=2;s=Flow,15.32,Float,2026-01-01T10:01:09Z
ns=2;s=Temperature,21.79,Float,2026-01-01T10:01:10Z
ns=2;s=Pressure,100.7,Float,2026-01-01T10:01:10Z
ns=2;s=Flow,15.31,Float,2026-01-01T10:01:10Z
ns=2;s=Temperature,21.77,Float,2026-01-01T10:01:11Z
ns=2;s=Pressure,100.65,Float,2026-01-01T10:01:11Z
ns=2;s=Flow,15.31,Float,2026-01-01T10:01:11Z
ns=2;s=Temperature,21.75,Float,2026-01-01T10:01:12Z
ns=2;s=Pressure,100.6,Float,2026-01-01T10:01:12Z
ns=2;s=Flow,15.3,Float,2026-01-01T10:01:12Z
ns=2;s=Temperature,21.72,Float,2026-01-01T10:01:13Z
ns=2;s=Pressure,100.55,Float,2026-01-01T10:01:13Z
ns=2;s=Flow,15.3,Float,2026-01-01T10:01:13Z
ns=2;s=Temperature,21.7,Float,2026-01-01T10:01:14Z
ns=2;s=Pressure,100.5,Float,2026-01-01T10:01:14Z
ns=2;s=Flow,15.29,Float,2026-01-01T10:01:14Z
ns=2;s=Temperature,21.67,Float,2026-01-01T10:01:15Z
ns=2;s=Pressure,100.45,Float,2026-01-01T10:01:15Z
ns=2;s=Flow,15.28,Float,2026-01-01T10:01:15Z
ns=2;s=Temperature,21.65,Float,2026-01-01T10:01:16Z
ns=2;s=Pressure,100.4,Float,2026-01-01T10:01:16Z
ns=2;s=Flow,15.27,Float,2026-01-01T10:01:16Z
ns=2;s=Temperature,21.62,Float,2026-01-01T10:01:17Z
ns=2;s=Pressure,100.36,Float,2026-01-01T10:01:17Z
ns=2;s=Flow,15.27,Float,2026-01-01T10:01:17Z
ns=2;s=Temperature,21.59,Float,2026-01-01T10:01:18Z
ns=2;s=Pressure,100.32,Float,2026-01-01T10:01:18Z
ns=2;s=Flow,15.26,Float,2026-01-01T10:01:18Z
ns=2;s=Temperature,21.57,Float,2026-01-01T10:01:19Z
ns=2;s=Pressure,100.27,Float,2026-01-01T10:01:19Z
ns=2;s=Flow,15.24,Float,2026-01-01T10:01:19Z
ns=2;s=Temperature,21.54,Float,2026-01-01T10:01:20Z
ns=2;s=Pressure,100.23,Float,2026-01-01T10:01:20Z
ns=2;s=Flow,15.23,Float,2026-01-01T10:01:20Z
ns=2;s=Temperature,21.51,Float,2026-01-01T10:01:21Z
ns=2;s=Pressure,100.2,Float,2026-01-01T10:01:21Z
ns=2;s=Flow,15.22,Float,2026-01-01T10:01:21Z
ns=2;s=Temperature,21.48,Float,2026-01-01T10:01:22Z
ns=2;s=Pressure,100.16,Float,2026-01-01T10:01:22Z
ns=2;s=Flow,15.2,Float,2026-01-01T10:01:22Z
ns=2;s=Temperature,21.45,Float,2026-01-01T10:01:23Z
ns=2;s=Pressure,100.13,Float,2026-01-01T10:01:23Z
ns=2;s=Flow,15.19,Float,2026-01-01T10:01:23Z
ns=2;s=Temperature,21.42,Float,2026-01-01T10:01:24Z
ns=2;s=Pressure,100.1,Float,2026-01-01T10:01:24Z
ns=2;s=Flow,15.17,Float,2026-01-01T10:01:24Z
ns=2;s=Temperature,21.39,Float,2026-01-01T10:01:25Z
ns=2;s=Pressure,100.07,Float,2026-01-01T10:01:25Z
ns=2;s=Flow,15.15,Float,2026-01-01T10:01:25Z
ns=2;s=Temperature,21.36,Float,2026-01-01T10:01:26Z
ns=2;s=Pressure,100.04,Float,2026-01-01T10:01:26Z
ns=2;s=Flow,15.13,Float,2026-01-01T10:01:26Z
ns=2;s=Temperature,21.33,Float,2026-01-01T10:01:27Z
ns=2;s=Pressure,100.01,Float,2026-01-01T10:01:27Z
ns=2;s=Flow,15.11,Float,2026-01-01T10:01:27Z
ns=2;s=Temperature,21.29,Float,2026-01-01T10:01:28Z
ns=2;s=Pressure,99.99,Float,2026-01-01T10:01:28Z
ns=2;s=Flow,15.09,Float,2026-01-01T10:01:28Z
ns=2;s=Temperature,21.26,Float,2026-01-01T10:01:29Z
ns=2;s=Pressure,99.97,Float,2026-01-01T10:01:29Z
ns=2;s=Flow,15.06,Float,2026-01-01T10:01:29Z
ns=2;s=Temperature,21.23,Float,2026-01-01T10:01:30Z
ns=2;s=Pressure,99.95,Float,2026-01-01T10:01:30Z
ns=2;s=Flow,15.04,Float,2026-01-01T10:01:30Z
ns=2;s=Temperature,21.2,Float,2026-01-01T10:01:31Z
ns=2;s=Pressure,99.94,Float,2026-01-01T10:01:31Z
ns=2;s=Flow,15.01,Float,2026-01-01T10:01:31Z
ns=2;s=Temperature,21.17,Float,2026-01-01T10:01:32Z
ns=2;s=Pressure,99.93,Float,2026-01-01T10:01:32Z
ns=2;s=Flow,14.98,Float,2026-01-01T10:01:32Z
ns=2;s=Temperature,21.13,Float,2026-01-01T10:01:33Z
ns=2;s=Pressure,99.92,Float,2026-01-01T10:01:33Z
ns=2;s=Flow,14.95,Float,2026-01-01T10:01:33Z
ns=2;s=Temperature,21.1,Float,2026-01-01T10:01:34Z
ns=2;s=Pressure,99.91,Float,2026-01-01T10:01:34Z
ns=2;s=Flow,14.92,Float,2026-01-01T10:01:34Z
ns=2;s=Temperature,21.07,Float,2026-01-01T10:01:35Z
ns=2;s=Pressure,99.9,Float,2026-01-01T10:01:35Z
ns=2;s=Flow,14.89,Float,2026-01-01T10:01:35Z
ns=2;s=Temperature,21.04,Float,2026-01-01T10:01:36Z
ns=2;s=Pressure,99.9,Float,2026-01-01T10:01:36Z
ns=2;s=Flow,14.85,Float,2026-01-01T10:01:36Z
ns=2;s=Temperature,21.01,Float,2026-01-01T10:01:37Z
ns=2;s=Pressure,99.9,Float,2026-01-01T10:01:37Z
ns=2;s=Flow,14.82,Float,2026-01-01T10:01:37Z
ns=2;s=Temperature,20.97,Float,2026-01-01T10:01:38Z
ns=2;s=Pressure,99.9,Float,2026-01-01T10:01:38Z
ns=2;s=Flow,14.78,Float,2026-01-01T10:01:38Z
ns=2;s=Temperature,20.94,Float,2026-01-01T10:01:39Z
ns=2;s=Pressure,99.91,Float,2026-01-01T10:01:39Z
ns=2;s=Flow,14.75,Float,2026-01-01T10:01:39Z
ns=2;s=Temperature,20.91,Float,2026-01-01T10:01:40Z
ns=2;s=Pressure,99.92,Float,2026-01-01T10:01:40Z
ns=2;s=Flow,14.71,Float,2026-01-01T10:01:40Z
ns=2;s=Temperature,20.88,Float,2026-01-01T10:01:41Z
ns=2;s=Pressure,99.93,Float,2026-01-01T10:01:41Z
ns=2;s=Flow,14.67,Float,2026-01-01T10:01:41Z
ns=2;s=Temperature,20.85,Float,2026-01-01T10:01:42Z
ns=2;s=Pressure,99.94,Float,2026-01-01T10:01:42Z
ns=2;s=Flow,14.63,Float,2026-01-01T10:01:42Z
ns=2;s=Temperature,20.82,Float,2026-01-01T10:01:43Z
ns=2;s=Pressure,99.95,Float,2026-01-01T10:01:43Z
ns=2;s=Flow,14.59,Float,2026-01-01T10:01:43Z
ns=2;s=Temperature,20.78,Float,2026-01-01T10:01:44Z
ns=2;s=Pressure,99.97,Float,2026-01-01T10:01:44Z
ns=2;s=Flow,14.55,Float,2026-01-01T10:01:44Z
ns=2;s=Temperature,20.75,Float,2026-01-01T10:01:45Z
ns=2;s=Pressure,99.99,Float,2026-01-01T10:01:45Z
ns=2;s=Flow,14.51,Float,2026-01-01T10:01:45Z
ns=2;s=Temperature,20.72,Float,2026-01-01T10:01:46Z
ns=2;s=Pressure,100.01,Float,2026-01-01T10:01:46Z
ns=2;s=Flow,14.46,Float,2026-01-01T10:01:46Z
ns=2;s=Temperature,20.69,Float,2026-01-01T10:01:47Z
ns=2;s=Pressure,100.03,Float,2026-01-01T10:01:47Z
ns=2;s=Flow,14.42,Float,2026-01-01T10:01:47Z
ns=2;s=Temperature,20.67,Float,2026-01-01T10:01:48Z
ns=2;s=Pressure,100.06,Float,2026-01-01T10:01:48Z
ns=2;s=Flow,14.38,Float,2026-01-01T10:01:48Z
ns=2;s=Temperature,20.64,Float,2026-01-01T10:01:49Z
ns=2;s=Pressure,100.09,Float,2026-01-01T10:01:49Z
ns=2;s=Flow,14.34,Float,2026-01-01T10:01:49Z
ns=2;s=Temperature,20.61,Float,2026-01-01T10:01:50Z
ns=2;s=Pressure,100.12,Float,2026-01-01T10:01:50Z
ns=2;s=Flow,14.3,Float,2026-01-01T10:01:50Z
ns=2;s=Temperature,20.58,Float,2026-01-01T10:01:51Z
ns=2;s=Pressure,100.15,Float,2026-01-01T10:01:51Z
ns=2;s=Flow,14.26,Float,2026-01-01T10:01:51Z
ns=2;s=Temperature,20.55,Float,2026-01-01T10:01:52Z
ns=2;s=Pressure,100.18,Float,2026-01-01T10:01:52Z
ns=2;s=Flow,14.22,Float,2026-01-01T10:01:52Z
ns=2;s=Temperature,20.53,Float,2026-01-01T10:01:53Z
ns=2;s=Pressure,100.22,Float,2026-01-01T10:01:53Z
ns=2;s=Flow,14.18,Float,2026-01-01T10:01:53Z
ns=2;s=Temperature,20.5,Float,2026-01-01T10:01:54Z
ns=2;s=Pressure,100.25,Float,2026-01-01T10:01:54Z
ns=2;s=Flow,14.14,Float,2026-01-01T10:01:54Z
ns=2;s=Temperature,20.48,Float,2026-01-01T10:01:55Z
ns=2;s=Pressure,100.29,Float,2026-01-01T10:01:55Z
ns=2;s=Flow,14.1,Float,2026-01-01T10:01:55Z
ns=2;s=Temperature,20.45,Float,2026-01-01T10:01:56Z
ns=2;s=Pressure,100.33,Float,2026-01-01T10:01:56Z
ns=2;s=Flow,14.06,Float,2026-01-01T10:01:56Z
ns=2;s=Temperature,20.43,Float,2026-01-01T10:01:57Z
ns=2;s=Pressure,100.37,Float,2026-01-01T10:01:57Z
ns=2;s=Flow,14.03,Float,2026-01-01T10:01:57Z
ns=2;s=Temperature,20.41,Float,2026-01-01T10:01:58Z
ns=2;s=Pressure,100.41,Float,2026-01-01T10:01:58Z
ns=2;s=Flow,13.99,Float,2026-01-01T10:01:58Z
ns=2;s=Temperature,20.38,Float,2026-01-01T10:01:59Z
ns=2;s=Pressure,100.46,Float,2026-01-01T10:01:59Z
ns=2;s=Flow,13.96,Float,2026-01-01T10:01:59Z
ns=2;s=Temperature,20.36,Float,2026-01-01T10:02:00Z
ns=2;s=Pressure,100.5,Float,2026-01-01T10:02:00Z
ns=2;s=Flow,13.93,Float,2026-01-01T10:02:00Z
ns=2;s=Temperature,20.34,Float,2026-01-01T10:02:01Z
ns=2;s=Pressure,100.54,Float,2026-01-01T10:02:01Z
ns=2;s=Flow,13.9,Float,2026-01-01T10:02:01Z
ns=2;s=Temperature,20.32,Float,2026-01-01T10:02:02Z
ns=2;s=Pressure,100.59,Float,2026-01-01T10:02:02Z
ns=2;s=Flow,13.88,Float,2026-01-01T10:02:02Z
ns=2;s=Temperature,20.3,Float,2026-01-01T10:02:03Z
ns=2;s=Pressure,100.63,Float,2026-01-01T10:02:03Z
ns=2;s=Flow,13.85,Float,2026-01-01T10:02:03Z
ns=2;s=Temperature,20.29,Float,2026-01-01T10:02:04Z
ns=2;s=Pressure,100.68,Float,2026-01-01T10:02:04Z
ns=2;s=Flow,13.83,Float,2026-01-01T10:02:04Z
ns=2;s=Temperature,20.27,Float,2026-01-01T10:02:05Z
ns=2;s=Pressure,100.73,Float,2026-01-01T10:02:05Z
ns=2;s=Flow,13.81,Float,2026-01-01T10:02:05Z
ns=2;s=Temperature,20.25,Float,2026-01-01T10:02:06Z
ns=2;s=Pressure,100.77,Float,2026-01-01T10:02:06Z
ns=2;s=Flow,13.79,Float,2026-01-01T10:02:06Z
ns=2;s=Temperature,20.24,Float,2026-01-01T10:02:07Z
ns=2;s=Pressure,100.82,Float,2026-01-01T10:02:07Z
ns=2;s=Flow,13.78,Float,2026-01-01T10:02:07Z
ns=2;s=Temperature,20.23,Float,2026-01-01T10:02:08Z
ns=2;s=Pressure,100.87,Float,2026-01-01T10:02:08Z
ns=2;s=Flow,13.77,Float,2026-01-01T10:02:08Z
ns=2;s=Temperature,20.21,Float,2026-01-01T10:02:09Z
ns=2;s=Pressure,100.91,Float,2026-01-01T10:02:09Z
ns=2;s=Flow,13.76,Float,2026-01-01T10:02:09Z
ns=2;s=Temperature,20.2,Float,2026-01-01T10:02:10Z
ns=2;s=Pressure,100.96,Float,2026-01-01T10:02:10Z
ns=2;s=Flow,13.75,Float,2026-01-01T10:02:10Z
ns=2;s=Temperature,20.19,Float,2026-01-01T10:02:11Z
ns=2;s=Pressure,101.0,Float,2026-01-01T10:02:11Z
ns=2;s=Flow,13.75,Float,2026-01-01T10:02:11Z
ns=2;s=Temperature,20.18,Float,2026-01-01T10:02:12Z
ns=2;s=Pressure,101.05,Float,2026-01-01T10:02:12Z
ns=2;s=Flow,13.75,Float,2026-01-01T10:02:12Z
ns=2;s=Temperature,20.17,Float,2026-01-01T10:02:13Z
ns=2;s=Pressure,101.09,Float,2026-01-01T10:02:13Z
ns=2;s=Flow,13.75,Float,2026-01-01T10:02:13Z
ns=2;s=Temperature,20.16,Float,2026-01-01T10:02:14Z
ns=2;s=Pressure,101.14,Float,2026-01-01T10:02:14Z
ns=2;s=Flow,13.76,Float,2026-01-01T10:02:14Z
ns=2;s=Temperature,20.16,Float,2026-01-01T10:02:15Z
ns=2;s=Pressure,101.18,Float,2026-01-01T10:02:15Z
ns=2;s=Flow,13.77,Float,2026-01-01T10:02:15Z
ns=2;s=Temperature,20.15,Float,2026-01-01T10:02:16Z
ns=2;s=Pressure,101.22,Float,2026-01-01T10:02:16Z
ns=2;s=Flow,13.78,Float,2026-01-01T10:02:16Z
ns=2;s=Temperature,20.15,Float,2026-01-01T10:02:17Z
ns=2;s=Pressure,101.26,Float,2026-01-01T10:02:17Z
ns=2;s=Flow,13.8,Float,2026-01-01T10:02:17Z
